"","Name","Birth_Date","Age","Birth_Place","Country","Height","Weight","Association","Class","Fighter_id","NickName","Feet","Inch"
"85","Manny Bermudez",1994-07-19,"24","Abington, Massachusetts","United States",8,"14","South Shore Sportfighting","Bantamweight","The Bermudez Triangle","The Bermudez Triangle","5","6"
"86","Darko Stosic",1992-02-09,"26","Belgrade","Serbia",14,"57","MMA Red Star","Light Heavyweight","character(0)","character(0)","6","0"
"87","Pingyuan Liu",NA,NA,"Zhengzhou, Henan","China",8,"14","United Martial Arts Combat","Bantamweight","character(0)","character(0)","5","6"
"88","Anthony Smith",1988-07-26,"30","Omaha, Nebraska","United States",18,"50","Disorderly Conduct","Middleweight","Lionheart","Lionheart","6","4"
"89","Sage Northcutt",1996-03-01,"22","Katy, Texas","United States",14,"38","Team Alpha Male","Welterweight","Super","Super","6","0"
"90","Rick Glenn",1989-04-12,"29","Marshalltown, Iowa","United States",14,"20","Team Alpha Male","Featherweight","The Gladiator","The Gladiator","6","0"
"91","Niko Price",1989-09-29,"29","Cape Coral, Florida","United States",14,"38","Futures MMA","Welterweight","The Hybrid","The Hybrid","6","0"
"92","Chad Mendes",1985-05-01,"33","Hanford, California","United States",8,"20","Team Alpha Male","Featherweight","Money","Money","5","6"
"93","Cat Zingano",1982-07-01,"36","Broomfield, Colorado","United States",8,"14","Zingano Brazilian Jiu-Jitsu","Bantamweight","Alpha","Alpha","5","6"
"94","Alejandro Perez",1989-09-02,"29","Estado de Mexico","Mexico",8,"14","American Kickboxing Academy","Bantamweight","Turbo","Turbo","5","6"
"95","Alexander Volkanovski",1988-09-29,"30","Windang, New South Wales","Australia",8,"20","Freestyle Fighting Gym","Featherweight","The Great","The Great","5","6"
"96","Said Nurmagomedov",1992-04-05,"26","Dagestan","Russia",10,"9","Akhmat Fight Team","Flyweight","character(0)","character(0)","5","8"
"97","Raoni Barcelos",1987-05-01,"31","Rio de Janeiro, Rio de Janeiro","Brazil",9,"20","Rizzo RVT / Laerte Barcelos Team","Featherweight","character(0)","character(0)","5","7"
"98","Liz Carmouche",1984-02-19,"34","San Diego, California","United States",8,"9","Team Hurricane Awesome","Flyweight","Girl-Rilla","Girl-Rilla","5","6"
"99","Mark De La Rosa",1994-08-31,"24","Fort Worth, Texas","United States",8,"9","Skrap Pack","Flyweight","Bumblebee","Bumblebee","5","6"
"100","Jessica Aguilar",1982-05-08,"36","Houston, Texas","United States",5,"4","American Top Team","Strawweight","Jag","Jag","5","3"
"101","Junior dos Santos",1984-01-30,"34","Cacador, Santa Catarina","Brazil",18,"79","Champion Team / Nordeste Jiu-Jitsu / American Top Team","Heavyweight","Cigano","Cigano","6","4"
"102","Derrick Lewis",1985-02-07,"33","Houston, Texas","United States",17,"103","Silverback Fight Club","Heavyweight","The Black Beast","The Black Beast","6","3"
"103","Mike Perry",1991-09-15,"27","Altamonte Springs, Florida","United States",12,"38","Jackson-Wink MMA","Welterweight","Platinum","Platinum","5","10"
"104","Anthony Pettis",1987-01-27,"31","Milwaukee, Wisconsin","United States",12,"29","Roufusport","Lightweight","Showtime","Showtime","5","10"
"105","Khalil Rountree",1990-02-06,"28","Las Vegas, Nevada","United States",15,"57","Black House","Light Heavyweight","The War Horse","The War Horse","6","1"
"106","Paulo Henrique Costa",1991-04-21,"27","Belo Horizonte, Minas Gerais","Brazil",14,"50","Champion Team / Team Rubens Dorea / Caveirinha Jiu-Jitsu Family","Middleweight","Borrachinha / The Eraser","Borrachinha / The Eraser","6","0"
"107","Raphael Assuncao",1982-07-19,"36","Recife, Pernambuco","Brazil",7,"14","Ascension MMA","Bantamweight","character(0)","character(0)","5","5"
"108","Drakkar Klose",1988-03-09,"30","South Haven, Michigan","United States",10,"29","MMA Lab","Lightweight","character(0)","character(0)","5","8"
"109","Curtis Millender",1987-12-01,"30","San Bernardino, California","United States",17,"38","CSW","Welterweight","Curtious","Curtious","6","3"
"110","Dan Hooker",1990-02-13,"28","Auckland","New Zealand",14,"29","City Kickboxing","Lightweight","The Hangman","The Hangman","6","0"
"111","Emily Whitmire",1991-05-24,"27","Hillsboro, Oregon","United States",7,"4","Xtreme Couture","Strawweight","Spitfire","Spitfire","5","5"
"112","Daniel Cormier",1979-03-20,"39","San Jose, California","United States",13,"57","American Kickboxing Academy","Light Heavyweight","DC","DC","5","11"
"113","Michael Trizano",1991-12-31,"26","Ramsey, New Jersey","United States",13,"29","Team Tiger Schulmann","Lightweight","The Lone Wolf","The Lone Wolf","5","11"
"114","Brad Katona",1991-12-19,"26","Winnipeg, Manitoba","Canada",8,"14","SBG Ireland","Bantamweight","Superman","Superman","5","6"
"115","Alex Caceres",1988-06-20,"30","Miami, Florida","United States",11,"20","MMA Lab","Featherweight","Bruce Leeroy","Bruce Leeroy","5","9"
"116","Roxanne Modafferi",1982-09-24,"36","Las Vegas, Nevada","United States",8,"10","Syndicate MMA","Flyweight","The Happy Warrior","The Happy Warrior","5","6"
"117","Alessio Di Chirico",1989-12-12,"28","Rome","Italy",14,"50","Gloria Fight Center","Middleweight","Manzo","Manzo","6","0"
"118","Montana De La Rosa",1995-02-14,"23","Fort Worth, Texas","United States",9,"9","Team Takedown","Flyweight","character(0)","character(0)","5","7"
"119","Luis Pena",1993-07-05,"25","Little Rock, Arkansas","United States",17,"29","St. Charles MMA","Lightweight","Violent Bob Ross","Violent Bob Ross","6","3"
"120","John Gunther",1985-11-24,"32","Lakeville, Ohio","United States",11,"29","Strong Style Fight Team","Lightweight","The Machine","The Machine","5","9"
"121","Bryce Mitchell",1994-10-04,"24","Sherwood, Arkansas","United States",11,"20","Barata MMA","Featherweight","Thug Nasty","Thug Nasty","5","9"
"122","Steven Peterson",1990-05-29,"28","Plano, Texas","United States",11,"20","Fortis MMA","Featherweight","Ocho","Ocho","5","9"
"123","Gerald Meerschaert",1987-12-18,"30","Racine, Wisconsin","United States",15,"50","Roufusport","Middleweight","GM3","GM3","6","1"
"124","Ovince St. Preux",1983-04-08,"35","Knoxville, Tennessee","United States",17,"57","Knoxville MMA","Light Heavyweight","OSP","OSP","6","3"
"125","Jessica Eye",1986-07-27,"32","Cleveland, Ohio","United States",8,"9","Strong Style Fight Team","Flyweight","Evil","Evil","5","6"
"126","Jingliang Li",1988-03-20,"30","Xinjiang","China",14,"37","China Top Team","Welterweight","The Leech","The Leech","6","0"
"127","Yadong Song",1997-12-02,"20","Tianjin","China",10,"20","Team Alpha Male","Featherweight","The Terminator","The Terminator","5","8"
"128","Shane Young",1993-07-31,"25","Auckland","New Zealand",10,"20","City Kickboxing","Featherweight","Sugar","Sugar","5","8"
"129","Kenan Song",NA,NA,"Tangshan, Hebei","China",14,"38","Jackson-Wink MMA","Welterweight","The Assassin","The Assassin","6","0"
"130","Jake Matthews",1994-08-19,"24","Epping, Victoria","Australia",13,"38","Nexus","Welterweight","The Celtic Kid","The Celtic Kid","5","11"
"131","Xiaonan Yan",1989-06-16,"29","Shenyang, Liaoning","China",7,"3","China Top Team","Strawweight","Fury","Fury","5","5"
"132","Matt Schnell",1990-01-15,"28","Shreveport, Louisiana","United States",10,"9","American Top Team","Flyweight","Danger","Danger","5","8"
"133","Yuta Sasaki",1989-10-07,"28","Numazu, Shizuoka","Japan",12,"9","Wajutsu Keishukai Suruga","Flyweight","Ulka","Ulka","5","10"
"134","Ji Yeon Kim",1989-10-18,"28","Incheon","South Korea",9,"9","Impact Gym","Flyweight","Fire Fist","Fire Fist","5","7"
"135","Leon Edwards",1991-08-25,"27","Erdington, West Midlands","England",14,"38","UTC Birmingham / American Kickboxing Academy","Welterweight","Rocky","Rocky","6","0"
"136","Colby Covington",1988-02-22,"30","Springfield, Oregon","United States",13,"37","American Top Team","Welterweight","Chaos","Chaos","5","11"
"137","Holly Holm",1981-10-17,"36","Albuquerque, New Mexico","United States",10,"20","Jackson-Wink MMA","Featherweight","The Preacher's Daughter","The Preacher's Daughter","5","8"
"138","Tai Tuivasa",1993-03-16,"25","Sydney, New South Wales","Australia",16,"104","Lions High Performance Centre","Heavyweight","Bam Bam","Bam Bam","6","2"
"139","Mike Jackson",1985-03-22,"33","Houston, Texas","United States",16,"38","4oz. Fight Club","Welterweight","The Truth","The Truth","6","2"
"140","Curtis Blaydes",1991-02-18,"27","Nowhere, Oklahoma","United States",18,"95","Elevation Fight Team","Heavyweight","Razor","Razor","6","4"
"141","Claudia Gadelha",1988-12-07,"29","Mossoro, Rio Grande do Norte","Brazil",5,"4","Luttrell-Yee MMA / Jackson-Wink MMA","Strawweight","Claudinha","Claudinha","5","3"
"142","Chris de la Rocha",1979-05-15,"39","Washougal, Washington","United States",17,"83","Forge Combat Academy","Heavyweight","character(0)","character(0)","6","3"
"143","Sergio Pettis",1993-08-18,"25","Milwaukee, Wisconsin","United States",8,"9","Roufusport","Flyweight","S.P.","S.P.","5","6"
"144","Dan Ige",1991-08-06,"27","Honolulu, Hawaii","United States",9,"20","Xtreme Couture","Featherweight","Dynamite","Dynamite","5","7"
"145","Robert Whittaker",1990-12-20,"27","Sydney, New South Wales","Australia",13,"50","PMA Super Martial Arts","Middleweight","The Reaper / Bobby Knuckles","The Reaper / Bobby Knuckles","5","11"
"146","Gregor Gillespie",1987-03-18,"31","New York, New York","United States",11,"29","Bellmore Kickboxing Academy","Lightweight","The Gift","The Gift","5","9"
"147","Walt Harris",1983-06-10,"35","Homewood, Alabama","United States",19,"92","American Top Team","Heavyweight","The Big Ticket","The Big Ticket","6","5"
"148","Ben Saunders",1983-04-13,"35","Orlando, Florida","United States",17,"38","American Top Team Orlando","Welterweight","Killa B","Killa B","6","3"
"149","Julio Arce",1989-10-27,"28","Queens, New York","United States",9,"20","Team Tiger Schulmann","Featherweight","character(0)","character(0)","5","7"
"150","Sam Alvey",1986-05-06,"32","Waterford, Wisconsin","United States",16,"57","Team Quest","Light Heavyweight","Smile'n","Smile'n","6","2"
"151","Sijara Eubanks",1985-04-27,"33","Camp Springs, Maryland","United States",6,"9","Team Lloyd Irvin","Flyweight","Sarj","Sarj","5","4"
"152","David Teymur",1989-05-01,"29","Stockholm","Sweden",11,"29","Allstars Training Center","Lightweight","character(0)","character(0)","5","9"
"153","Belal Muhammad",1988-07-09,"30","Chicago, Illinois","United States",12,"38","Roufusport","Welterweight","Remember the Name","Remember the Name","5","10"
"154","Desmond Green",1989-10-11,"28","Rochester, New York","United States",12,"29","Hard Knocks 365","Lightweight","The Predator","The Predator","5","10"
"155","Nathaniel Wood",NA,NA,"Morden, Greater London","England",8,"14","Nova Forca / Team Titan","Bantamweight","The Prospect","The Prospect","5","6"
"156","Jose Torres",1992-08-02,"26","Chicago, Illinois","United States",6,"9","KHK MMA Team","Flyweight","Shorty","Shorty","5","4"
"157","Marlon Moraes",1988-04-26,"30","Nova Friburgo, Rio de Janeiro","Brazil",8,"14","Ricardo Almeida Jiu-Jitsu / Valor Martial Arts","Bantamweight","Magic","Magic","5","6"
"158","Neil Magny",1987-08-03,"31","Dolton, Illinois","United States",17,"38","Elevation Fight Team","Welterweight","character(0)","character(0)","6","3"
"159","Arnold Allen",1994-01-17,"24","Felixstowe, Suffolk","England",11,"20","Tristar Gym","Featherweight","Almighty","Almighty","5","9"
"160","Makwan Amirkhani",1988-11-08,"29","Turku","Finland",12,"20","SBG Ireland","Featherweight","Mr. Finland","Mr. Finland","5","10"
"161","Claudio Henrique da Silva",1982-09-06,"36","Rondonopolis, Mato Grosso","Brazil",13,"38","London Shootfighters","Welterweight","Hannibal","Hannibal","5","11"
"162","Tom Breese",1991-09-26,"27","Birmingham, West Midlands","England",17,"38","Tristar Gym","Welterweight","character(0)","character(0)","6","3"
"163","Lina Lansberg",1982-03-13,"36","Malmo, Scania","Sweden",9,"14","Redline Training Center","Bantamweight","Elbow Queen","Elbow Queen","5","7"
"164","Carlo Pedersoli Jr.",1993-06-08,"25","Miami, Florida","United States",13,"38","Gloria Fight Center","Welterweight","Semento","Semento","5","11"
"165","Gillian Robertson",1995-05-17,"23","Niagara Falls, Ontario","Canada",7,"9","American Top Team","Flyweight","The Savage","The Savage","5","5"
"166","Elias Theodorou",1988-05-31,"30","Mississauga, Ontario","Canada",15,"50","Kros Gym / Mecha MMA","Middleweight","The Spartan","The Spartan","6","1"
"167","Darren Till",1992-12-24,"25","Liverpool, Merseyside","England",14,"38","Astra Fight Team / Team Kaobon","Welterweight","The Gorilla","The Gorilla","6","0"
"168","Dominick Reyes",1989-12-26,"28","Victorville, California","United States",18,"57","Cage Combat Academy","Light Heavyweight","The Devastator","The Devastator","6","4"
"169","Guido Cannetti",1979-12-19,"38","Buenos Aires","Argentina",8,"14","Our Town MMA","Bantamweight","Ninja","Ninja","5","6"
"170","Andrea Lee",1989-02-11,"29","Shreveport, Louisiana","United States",8,"9","Karate Mafia","Flyweight","KGB","KGB","5","6"
"171","Vicente Luque",1991-11-27,"26","Brasilia, Federal District","Brazil",13,"38","Blackzilians / Cerrado MMA","Welterweight","The Silent Assassin","The Silent Assassin","5","11"
"172","Michel Prazeres",1981-07-25,"37","Belem, Para","Brazil",8,"38","Coalizao Fight Team / Frankiko Team / Trator Team","Welterweight","Trator","Trator","5","6"
"173","Alexandre Pantoja",1990-04-16,"28","Arraial do Cabo, Rio de Janeiro","Brazil",7,"9","Nova Uniao / Black House","Flyweight","The Cannibal","The Cannibal","5","5"
"174","Poliana Botelho",1988-12-15,"29","Muriae, Minas Gerais","Brazil",7,"4","Nova Uniao","Strawweight","character(0)","character(0)","5","5"
"175","Gabriel Benitez",1988-06-15,"30","Tijuana, Baja California","Mexico",10,"20","American Kickboxing Academy","Featherweight","Moggly","Moggly","5","8"
"176","Enrique Barzola",1989-04-25,"29","El Agustino, Lima","Peru",9,"20","Pitbull Martial Arts Center","Featherweight","El Fuerte","El Fuerte","5","7"
"177","Frankie Saenz",1980-08-12,"38","Scottsdale, Arizona","United States",8,"14","Fight Ready","Bantamweight","character(0)","character(0)","5","6"
"178","Claudio Puelles",1996-04-21,"22","Molina","Peru",13,"20","Pitbull Martial Arts Center","Featherweight","El Nino","El Nino","5","11"
"179","Kamaru Usman",1987-05-11,"31","Delray Beach, Florida","United States",14,"38","Hard Knocks 365","Welterweight","Marty / The Nigerian Nightmare","Marty / The Nigerian Nightmare","6","0"
"180","Kelvin Gastelum",1991-10-24,"26","Yuma, Arizona","United States",11,"50","Kings MMA","Middleweight","character(0)","character(0)","5","9"
"181","Mackenzie Dern",1993-03-24,"25","Phoenix, Arizona","United States",6,"7","Black House","Flyweight","character(0)","character(0)","5","4"
"182","John Lineker",1990-06-12,"28","Paranagua, Parana","Brazil",5,"14","OCS Jiu-Jitsu / American Top Team","Bantamweight","Hands of Stone","Hands of Stone","5","3"
"183","Lyoto Machida",1978-05-30,"40","Belem, Para","Brazil",15,"50","APAM / Team Machida","Middleweight","The Dragon","The Dragon","6","1"
