id,name,nickname,url,height,height_inches,weight,reach,stance,is_orthodox,dob,record,record_wins,record_losses,record_draws
43,Desmond Green,"""The Predator""",http://www.fightmetric.com/fighter-details/f046d724d2a84ac5,"5' 10""",70,155,73,Southpaw,0,"Oct 11, 1989",21-8-0,21,8,0
44,Magomed Ankalaev,,http://www.fightmetric.com/fighter-details/d802174b0c0c1f4e,"6' 3""",75,205,75,Orthodox,1,"Feb 06, 1992",10-1-0,10,1,0
45,Marcin Prachnio,,http://www.fightmetric.com/fighter-details/6370c1c1e12723d5,"6' 3""",75,205,74,Orthodox,1,"Jul 14, 1988",13-4-0,13,4,0
46,Adam Yandiev,"""Boroda""",http://www.fightmetric.com/fighter-details/0a95c474e61a6c44,"5' 9""",69,185,74,Orthodox,1,"Aug 07, 1988",9-1-0,9,1,0
47,Jordan Johnson,,http://www.fightmetric.com/fighter-details/99bcdf5eac39898f,"6' 2""",74,205,79,Orthodox,1,"Nov 18, 1988",10-0-0,10,0,0
48,Ramazan Emeev,"""Gorets""",http://www.fightmetric.com/fighter-details/abd5fb12437eda21,"5' 10""",70,170,76,Southpaw,0,"May 23, 1987",18-3-0,18,3,0
49,Stefan Sekulic,,http://www.fightmetric.com/fighter-details/348dff4e03bd18c6,"6' 0""",72,170,75,Southpaw,0,"Feb 12, 1992",12-3-0,12,3,0
50,Merab Dvalishvili,,http://www.fightmetric.com/fighter-details/c03520b5c88ed6b4,"5' 6""",66,135,68,Orthodox,1,"Jan 10, 1991",8-4-0,8,4,0
51,Terrion Ware,"""Flash""",http://www.fightmetric.com/fighter-details/ba5e253af86db1a8,"5' 8""",68,135,71,Orthodox,1,"Mar 31, 1986",17-9-0,17,9,0
52,Tyron Woodley,"""The Chosen One""",http://www.fightmetric.com/fighter-details/effd9de9937996f8,"5' 9""",69,170,74,Orthodox,1,"Apr 07, 1982",19-3-1,19,3,1
53,Darren Till,"""The Gorilla""",http://www.fightmetric.com/fighter-details/9ce6d5a03af801b7,"6' 0""",72,170,74,Southpaw,0,"Dec 24, 1992",17-1-1,17,1,1
54,Jessica Andrade,"""Bate Estaca""",http://www.fightmetric.com/fighter-details/6a1901c62ab3870f,"5' 1""",61,115,62,Orthodox,1,"Sep 25, 1991",19-6-0,19,6,0
55,Karolina Kowalkiewicz,,http://www.fightmetric.com/fighter-details/d7c3816669784109,"5' 3""",63,115,64,Orthodox,1,"Oct 15, 1985",13-3-0,13,3,0
56,Zabit Magomedsharipov,,http://www.fightmetric.com/fighter-details/87aa9fb63d6b51a1,"6' 1""",73,145,73,Orthodox,1,"Mar 01, 1991",16-1-0,16,1,0
57,Brandon Davis,"""Killer B""",http://www.fightmetric.com/fighter-details/cc351e408bbb7d43,"5' 10""",70,145,72,Orthodox,1,"May 08, 1990",9-5-0,9,5,0
58,Jimmie Rivera,"""El Terror""",http://www.fightmetric.com/fighter-details/9c907996820d2d69,"5' 4""",64,135,68,Orthodox,1,"Jun 29, 1989",22-2-0,22,2,0
59,John Dodson,"""The Magician""",http://www.fightmetric.com/fighter-details/99506df1af6c8b3b,"5' 3""",63,135,66,Orthodox,1,"Sep 26, 1984",21-10-0,21,10,0
60,Abdul Razak Alhassan,,http://www.fightmetric.com/fighter-details/eae431e70064e046,"5' 10""",70,170,73,Orthodox,1,"Aug 11, 1985",10-1-0,10,1,0
61,Niko Price,"""The Hybrid""",http://www.fightmetric.com/fighter-details/d8da10db80131bec,"6' 0""",72,170,76,Orthodox,1,"Sep 29, 1989",12-2-0 (1 NC),12,2,0
62,Carla Esparza,"""Cookie Monster""",http://www.fightmetric.com/fighter-details/d910665038efc639,"5' 1""",61,115,63,,0,"Oct 10, 1987",14-6-0,14,6,0
63,Tatiana Suarez,,http://www.fightmetric.com/fighter-details/b08012bbe542592a,"5' 5""",65,115,67,,0,"Dec 19, 1990",8-0-0,8,0,0
64,Aljamain Sterling,"""Funk Master""",http://www.fightmetric.com/fighter-details/cb696ebfb6598724,"5' 7""",67,135,71,Orthodox,1,"Jul 31, 1989",16-3-0,16,3,0
65,Cody Stamann,"""The Spartan""",http://www.fightmetric.com/fighter-details/bf7ad5628363eec9,"5' 6""",66,135,64,Orthodox,1,"Nov 09, 1989",17-2-0,17,2,0
66,Geoff Neal,"""Handz of Steel""",http://www.fightmetric.com/fighter-details/b997be68943010fc,"5' 11""",71,170,75,Southpaw,0,"Aug 28, 1990",10-2-0,10,2,0
67,Frank Camacho,"""The Crank""",http://www.fightmetric.com/fighter-details/764342d39cdaa54a,"5' 10""",70,170,73,Orthodox,1,"May 18, 1989",21-7-0,21,7,0
68,Charles Byrd,"""Kid Dynamite""",http://www.fightmetric.com/fighter-details/76ee3d666c648f6b,"5' 10""",70,185,73,Orthodox,1,"Oct 11, 1983",10-5-0,10,5,0
69,Darren Stewart,"""The Dentist""",http://www.fightmetric.com/fighter-details/a17ad5a5048e8c3f,"6' 0""",72,185,74,Orthodox,1,"Dec 30, 1990",9-3-0 (1 NC),9,3,0
70,Diego Sanchez,"""Nightmare""",http://www.fightmetric.com/fighter-details/82e7929bf6c2b689,"5' 10""",70,170,72,Southpaw,0,"Dec 31, 1981",30-11-0,30,11,0
71,Craig White,"""The Thundercat""",http://www.fightmetric.com/fighter-details/3dd949593346dbc3,"6' 2""",74,170,76,Orthodox,1,"Jul 01, 1990",14-9-0,14,9,0
72,Jim Miller,"""A-10""",http://www.fightmetric.com/fighter-details/d1941565abf50b16,"5' 8""",68,155,71,Southpaw,0,"Aug 30, 1983",29-12-0 (1 NC),29,12,0
73,Alex White,"""The Spartan""",http://www.fightmetric.com/fighter-details/c17041f1bb5768d8,"6' 0""",72,155,71,Southpaw,0,"Oct 22, 1988",12-5-0,12,5,0
74,Irene Aldana,,http://www.fightmetric.com/fighter-details/578ef12674df1e6a,"5' 9""",69,135,68,Orthodox,1,"Mar 26, 1988",9-4-0,9,4,0
75,Lucie Pudilova,"""Bullet""",http://www.fightmetric.com/fighter-details/3cf66c62d9069f43,"5' 8""",68,135,67,Orthodox,1,"Jun 13, 1994",8-3-0,8,3,0
76,Roberto Sanchez,"""Littlefury""",http://www.fightmetric.com/fighter-details/546f8599a63c29da,"5' 6""",66,125,66,Orthodox,1,"Mar 05, 1986",8-2-0,8,2,0
77,Jarred Brooks,"""The Monkey God""",http://www.fightmetric.com/fighter-details/81d9df19e255b8b6,"5' 3""",63,125,62,Switch,0,"May 02, 1993",14-2-0,14,2,0
78,Justin Gaethje,"""The Highlight""",http://www.fightmetric.com/fighter-details/9e8f6c728eb01124,"5' 11""",71,155,70,Orthodox,1,"Nov 14, 1988",19-2-0,19,2,0
79,James Vick,"""The Texecutioner""",http://www.fightmetric.com/fighter-details/6256b2b1562cb8e1,"6' 3""",75,155,76,Orthodox,1,"Feb 23, 1987",13-2-0,13,2,0
80,Michael Johnson,"""The Menace""",http://www.fightmetric.com/fighter-details/511e82663651438d,"5' 10""",70,145,73,Southpaw,0,"Jun 04, 1986",19-13-0,19,13,0
81,Andre Fili,"""Touchy""",http://www.fightmetric.com/fighter-details/8fd808923cffff82,"5' 11""",71,145,74,Orthodox,1,"Jun 25, 1990",18-6-0,18,6,0
82,Cortney Casey,"""Cast Iron""",http://www.fightmetric.com/fighter-details/5f179af5fffeb9f6,"5' 7""",67,115,67,Orthodox,1,"May 05, 1987",8-6-0,8,6,0
83,Angela Hill,"""Overkill""",http://www.fightmetric.com/fighter-details/f0feeb2192937424,"5' 3""",63,115,64,Orthodox,1,"Jan 12, 1985",8-5-0,8,5,0
84,Jake Ellenberger,"""The Juggernaut""",http://www.fightmetric.com/fighter-details/d81ac739417d7f53,"5' 9""",69,170,71,Orthodox,1,"Mar 28, 1985",31-15-0,31,15,0
85,Bryan Barberena,"""Bam Bam""",http://www.fightmetric.com/fighter-details/a331233f597090a5,"6' 0""",72,170,72,Southpaw,0,"May 03, 1989",14-5-0,14,5,0
86,John Moraga,"""Chicano""",http://www.fightmetric.com/fighter-details/92437c6775b3f7d1,"5' 6""",66,125,66,Orthodox,1,"Mar 20, 1984",19-7-0,19,7,0
87,Deiveson Figueiredo,"""Deus da Guerra""",http://www.fightmetric.com/fighter-details/aa72b0f831d0bfe5,"5' 5""",65,125,68,Orthodox,1,"Dec 18, 1987",15-0-0,15,0,0
88,Tim Williams,"""The South Jersey Strangler""",http://www.fightmetric.com/fighter-details/990bd63726a577f8,"6' 2""",74,185,76,Orthodox,1,"Jul 03, 1986",15-5-0,15,5,0
89,James Krause,"""The""",http://www.fightmetric.com/fighter-details/8f6a18831a120817,"6' 2""",74,170,73,Orthodox,1,"Jun 04, 1986",25-8-0,25,8,0
90,Warlley Alves,,http://www.fightmetric.com/fighter-details/d317a5e2b3f88c5f,"5' 11""",71,170,72,Orthodox,1,"Jan 04, 1991",13-3-0,13,3,0
91,Cory Sandhagen,,http://www.fightmetric.com/fighter-details/65f09bacd3957381,"5' 11""",71,135,70,Switch,0,"Apr 20, 1992",9-1-0,9,1,0
92,Iuri Alcantara,"""Marajo""",http://www.fightmetric.com/fighter-details/2f95a3c6d58b2aad,"5' 9""",69,135,71,Southpaw,0,"Aug 04, 1980",35-10-0 (1 NC),35,10,0
93,Andrew Sanchez,"""El Dirte""",http://www.fightmetric.com/fighter-details/fccf811c1e8b01c7,"6' 1""",73,185,74,Orthodox,1,"Apr 08, 1988",11-4-0,11,4,0
94,Markus Perez,"""Maluko""",http://www.fightmetric.com/fighter-details/2ac4628c08ec5125,"6' 1""",73,185,73,Orthodox,1,"Jun 22, 1988",10-2-0,10,2,0
95,Mickey Gall,,http://www.fightmetric.com/fighter-details/9e50097a89442158,"6' 2""",74,170,74,Switch,0,"Jan 22, 1992",5-1-0,5,1,0
96,George Sullivan,"""The Silencer""",http://www.fightmetric.com/fighter-details/6c7e25571490aa3b,"6' 0""",72,170,73,Orthodox,1,"Mar 13, 1981",17-7-0 (1 NC),17,7,0
97,Joanne Calderwood,"""JoJo""",http://www.fightmetric.com/fighter-details/12f91bfa8f1f723b,"5' 6""",66,125,65,,0,"Dec 23, 1985",12-3-0,12,3,0
98,Kalindra Faria,,http://www.fightmetric.com/fighter-details/27b164b0d1833df0,"5' 7""",67,125,--,Switch,0,"Jul 23, 1986",18-8-1,18,8,1
99,Drew Dober,,http://www.fightmetric.com/fighter-details/519e4fe37ce9ff75,"5' 8""",68,170,70,Southpaw,0,"Oct 19, 1988",20-8-0 (1 NC),20,8,0
100,Jon Tuck,"""Super Saiyan""",http://www.fightmetric.com/fighter-details/53ec9cb470e1a4ea,"5' 11""",71,155,73,Orthodox,1,"Aug 28, 1984",10-5-0,10,5,0
101,Rani Yahya,,http://www.fightmetric.com/fighter-details/94527830000ab715,"5' 6""",66,135,67,Orthodox,1,"Sep 12, 1984",26-9-0 (1 NC),26,9,0
102,Luke Sanders,"""Cool Hand""",http://www.fightmetric.com/fighter-details/96428b9e9bd048ea,"5' 6""",66,135,67,Southpaw,0,"Dec 12, 1985",12-3-0,12,3,0
103,TJ Dillashaw,,http://www.fightmetric.com/fighter-details/c849740a3ff51931,"5' 6""",66,135,67,Orthodox,1,"Feb 07, 1986",17-3-0,17,3,0
104,Cody Garbrandt,"""No Love""",http://www.fightmetric.com/fighter-details/d8c7c61b176e3994,"5' 8""",68,135,65,Orthodox,1,"Jul 07, 1991",11-2-0,11,2,0
105,Demetrious Johnson,"""Mighty Mouse""",http://www.fightmetric.com/fighter-details/8a304bfd6bf04a57,"5' 3""",63,125,66,Orthodox,1,"Aug 13, 1986",27-3-1,27,3,1
106,Henry Cejudo,"""The Messenger""",http://www.fightmetric.com/fighter-details/056c493bbd76a918,"5' 4""",64,125,64,Orthodox,1,"Feb 09, 1987",13-2-0,13,2,0
107,Cub Swanson,,http://www.fightmetric.com/fighter-details/d247691a6c0e9034,"5' 8""",68,145,70,Orthodox,1,"Nov 02, 1983",25-10-0,25,10,0
108,Renato Moicano,"""Moicano""",http://www.fightmetric.com/fighter-details/b6452706b373eea1,"5' 11""",71,145,72,Orthodox,1,"May 21, 1989",13-1-1,13,1,1
109,Polyana Viana,"""Dama de Ferro""",http://www.fightmetric.com/fighter-details/9673a497a9da119a,"5' 5""",65,115,67,Orthodox,1,"Jun 14, 1992",10-2-0,10,2,0
110,JJ Aldrich,,http://www.fightmetric.com/fighter-details/6fd953151d981979,"5' 5""",65,115,67,Southpaw,0,"Sep 29, 1992",7-2-0,7,2,0
111,Kevin Holland,"""Trailblazer""",http://www.fightmetric.com/fighter-details/3a46b268013afede,"6' 3""",75,185,81,Orthodox,1,"Nov 05, 1992",13-4-0,13,4,0
112,Pedro Munhoz,"""The Young Punisher""",http://www.fightmetric.com/fighter-details/6bd02119599741a4,"5' 6""",66,135,64,Orthodox,1,"Sep 07, 1986",16-3-0 (1 NC),16,3,0
113,Brett Johns,"""The Pikey""",http://www.fightmetric.com/fighter-details/ec52462a1b41f714,"5' 7""",67,135,71,Orthodox,1,"Feb 21, 1992",15-2-0,15,2,0
114,Ricky Simon,,http://www.fightmetric.com/fighter-details/5987b2458f4b5290,"5' 6""",66,135,69,Orthodox,1,"Aug 31, 1992",14-1-0,14,1,0
115,Montel Jackson,"""Quik""",http://www.fightmetric.com/fighter-details/cc1a8b4b38b92c6d,"5' 10""",70,135,75,Southpaw,0,"Apr 24, 1992",6-1-0,6,1,0
116,Ricardo Ramos,,http://www.fightmetric.com/fighter-details/1ae8f3c723aacff4,"5' 9""",69,135,72,Orthodox,1,"Aug 01, 1995",12-1-0,12,1,0
117,Kyung Ho Kang,"""Mr. Perfect""",http://www.fightmetric.com/fighter-details/a7897d200692ab64,"5' 9""",69,135,72,Orthodox,1,"Sep 09, 1987",14-8-0 (1 NC),14,8,0
118,Matt Sayles,"""Robo""",http://www.fightmetric.com/fighter-details/5b8ba8f5512893b1,"5' 7""",67,145,68,Orthodox,1,"Feb 21, 1994",7-2-0,7,2,0
119,Sheymon Moraes,,http://www.fightmetric.com/fighter-details/0d62719b1dcf7c40,"5' 8""",68,145,72,Orthodox,1,"Oct 11, 1990",10-2-0,10,2,0
120,Alex Perez,,http://www.fightmetric.com/fighter-details/ab2b4ff41d6ebe0f,"5' 6""",66,125,65,Orthodox,1,"Mar 21, 1992",21-4-0,21,4,0
121,Jose Torres,"""Shorty""",http://www.fightmetric.com/fighter-details/d2036f31c035e0d1,"5' 4""",64,125,65,Orthodox,1,"Aug 02, 1992",8-1-0,8,1,0
122,Danielle Taylor,"""Dynamite""",http://www.fightmetric.com/fighter-details/b76c6268dc1d3c05,"5' 0""",60,115,60,Orthodox,1,"Oct 25, 1989",9-4-0,9,4,0
123,Weili Zhang,"""Magnum""",http://www.fightmetric.com/fighter-details/1ebe20ebbfa15e29,"5' 4""",64,115,--,Switch,0,"Aug 13, 1989",17-1-0,17,1,0
124,Marlon Vera,"""Chito""",http://www.fightmetric.com/fighter-details/7c7332319c14094c,"5' 8""",68,135,70,Switch,0,"Dec 02, 1992",11-5-1,11,5,1
125,Wuliji Buren,"""Beast Master""",http://www.fightmetric.com/fighter-details/2296125b6c362355,"5' 9""",69,135,69,Orthodox,1,"Mar 01, 1989",10-6-0,10,6,0
126,Eddie Alvarez,"""The Underground King""",http://www.fightmetric.com/fighter-details/33a331684283900f,"5' 9""",69,155,69,Orthodox,1,"Jan 11, 1984",29-6-0 (1 NC),29,6,0
127,Dustin Poirier,"""The Diamond""",http://www.fightmetric.com/fighter-details/029eaff01e6bb8f0,"5' 9""",69,155,72,Southpaw,0,"Jan 19, 1989",24-5-0 (1 NC),24,5,0
128,Jose Aldo,"""Junior""",http://www.fightmetric.com/fighter-details/d0f3959b4a9747e6,"5' 7""",67,145,70,Orthodox,1,"Sep 09, 1986",27-4-0,27,4,0
129,Jeremy Stephens,"""Lil' Heathen""",http://www.fightmetric.com/fighter-details/18968f97ad34f15c,"5' 8""",68,145,71,Orthodox,1,"May 25, 1986",28-15-0,28,15,0
130,Joanna Jedrzejczyk,,http://www.fightmetric.com/fighter-details/3d6749c4267da18f,"5' 6""",66,115,65,Orthodox,1,"Aug 18, 1987",15-2-0,15,2,0
131,Tecia Torres,"""The Tiny Tornado""",http://www.fightmetric.com/fighter-details/31ef8b67e13495b3,"5' 1""",61,115,60,Orthodox,1,"Aug 16, 1989",10-3-0,10,3,0
132,Alexander Hernandez,"""The Great""",http://www.fightmetric.com/fighter-details/262a7d06203657e6,"5' 9""",69,155,72,Orthodox,1,"Oct 01, 1992",10-1-0,10,1,0
133,Olivier Aubin-Mercier,"""The Canadian Gangster""",http://www.fightmetric.com/fighter-details/55ee431411ccf07a,"5' 9""",69,155,70,Southpaw,0,"Feb 23, 1989",12-3-0,12,3,0
134,Jordan Mein,"""Young Gun""",http://www.fightmetric.com/fighter-details/2aa49b3766a59bcd,"6' 0""",72,170,73,Orthodox,1,"Oct 10, 1989",31-12-0,31,12,0
135,Alex Morono,"""The Great White""",http://www.fightmetric.com/fighter-details/cdb96af67d096b1e,"5' 11""",71,170,72,Orthodox,1,"Aug 16, 1990",14-5-0 (1 NC),14,5,0
136,Hakeem Dawodu,"""Mean""",http://www.fightmetric.com/fighter-details/2c9d00968f818270,"5' 8""",68,145,73,Orthodox,1,"Jul 02, 1991",8-1-1,8,1,1
137,Austin Arnett,"""Golden Boy""",http://www.fightmetric.com/fighter-details/bf0e700106d00e55,"6' 0""",72,145,72,Orthodox,1,"Oct 22, 1991",15-5-0,15,5,0
138,Islam Makhachev,,http://www.fightmetric.com/fighter-details/275aca31f61ba28c,"5' 10""",70,155,70,Orthodox,1,"Oct 27, 1991",16-1-0,16,1,0
139,Gadzhimurad Antigulov,,http://www.fightmetric.com/fighter-details/af997f7611673880,"5' 11""",71,205,70,Orthodox,1,"Feb 09, 1987",20-5-0,20,5,0
140,Ion Cutelaba,"""The Hulk""",http://www.fightmetric.com/fighter-details/cd13728ae1151f46,"6' 1""",73,205,75,Southpaw,0,"Dec 14, 1993",14-3-0 (1 NC),14,3,0
141,John Makdessi,"""The Bull""",http://www.fightmetric.com/fighter-details/c21a036b4e012f1c,"5' 8""",68,155,68,Orthodox,1,"May 03, 1985",16-6-0,16,6,0
142,Ross Pearson,"""The Real Deal""",http://www.fightmetric.com/fighter-details/4f732e58ed907eff,"5' 8""",68,155,69,Orthodox,1,"Sep 26, 1984",22-15-0 (1 NC),22,15,0
143,Alexis Davis,,http://www.fightmetric.com/fighter-details/4c2d90e335e6df19,"5' 6""",66,125,68,Orthodox,1,"Oct 04, 1984",19-8-0,19,8,0
144,Katlyn Chookagian,"""Blonde Fighter""",http://www.fightmetric.com/fighter-details/e872e9a9a902c045,"5' 9""",69,125,68,Orthodox,1,"Dec 28, 1988",11-1-0,11,1,0
145,Dustin Ortiz,,http://www.fightmetric.com/fighter-details/f53c1f4ceeed8c08,"5' 5""",65,125,65,Orthodox,1,"Dec 25, 1988",19-7-0,19,7,0
146,Matheus Nicolau,,http://www.fightmetric.com/fighter-details/1a31ef98efce7a79,"5' 6""",66,125,66,,0,"Jan 06, 1993",13-3-1,13,3,1
147,Nina Ansaroff,"""The Strina""",http://www.fightmetric.com/fighter-details/d343df8ba11f4c4e,"5' 5""",65,115,64,Orthodox,1,"Dec 03, 1985",9-5-0,9,5,0
148,Devin Powell,,http://www.fightmetric.com/fighter-details/065eb44700e641a4,"6' 0""",72,155,73,Orthodox,1,"Mar 01, 1988",9-3-0,9,3,0
149,Alvaro Herrera,"""Chango""",http://www.fightmetric.com/fighter-details/74d35fbc9c6a61bd,"6' 0""",72,155,74,,0,"May 14, 1990",9-6-0,9,6,0
